"x"	"y"	"gpw_v4_population_density_rev11_2020_2pt5_min"
99.7708333333335	6.77083333333321	183.866348266602
99.8125000000002	6.77083333333321	183.866348266602
99.8541666666669	6.77083333333321	122.756378173828
99.8958333333335	6.77083333333321	119.88549041748
99.9375000000002	6.77083333333321	119.885498046875
99.9791666666669	6.77083333333321	125.073547363281
100.020833333334	6.77083333333321	136.569244384766
100.0625	6.77083333333321	127.337509155273
100.104166666667	6.77083333333321	124.044090270996
100.145833333334	6.77083333333321	124.044090270996
100.1875	6.77083333333321	126.060096740723
100.229166666667	6.77083333333321	137.994781494141
100.270833333334	6.77083333333321	138.423095703125
100.3125	6.77083333333321	137.781936645508
100.354166666667	6.77083333333321	129.934265136719
100.395833333334	6.77083333333321	138.203460693359
100.4375	6.77083333333321	138.423095703125
100.479166666667	6.77083333333321	138.423080444336
100.520833333334	6.77083333333321	195.648468017578
100.5625	6.77083333333321	285.432403564453
100.604166666667	6.77083333333321	175.255767822266
100.645833333334	6.77083333333321	111.535499572754
100.6875	6.77083333333321	111.778694152832
100.729166666667	6.77083333333321	116.062599182129
100.770833333334	6.77083333333321	175.55224609375
100.8125	6.77083333333321	157.618194580078
100.854166666667	6.77083333333321	133.753921508789
100.895833333334	6.77083333333321	133.753921508789
100.9375	6.77083333333321	133.75390625
100.979166666667	6.77083333333321	133.753921508789
101.020833333334	6.77083333333321	153.586074829102
101.0625	6.77083333333321	214.636123657227
101.104166666667	6.77083333333321	219.850463867188
101.145833333334	6.77083333333321	266.031463623047
101.1875	6.77083333333321	292.469177246094
101.229166666667	6.77083333333321	319.482269287109
101.270833333334	6.77083333333321	356.809051513672
101.3125	6.77083333333321	368.631622314453
101.354166666667	6.77083333333321	322.585144042969
101.395833333334	6.77083333333321	330.588073730469
101.4375	6.77083333333321	301.322967529297
101.479166666667	6.77083333333321	290.684814453125
101.520833333334	6.77083333333321	294.119659423828
101.5625	6.77083333333321	301.15380859375
101.604166666667	6.77083333333321	309.278991699219
99.6458333333335	6.72916666666654	138.118133544922
99.6875000000002	6.72916666666654	138.118133544922
99.8125000000002	6.72916666666654	138.118118286133
99.8541666666669	6.72916666666654	133.830535888672
99.8958333333335	6.72916666666654	121.21760559082
99.9375000000002	6.72916666666654	120.203506469727
99.9791666666669	6.72916666666654	133.31379699707
100.020833333334	6.72916666666654	138.118118286133
100.0625	6.72916666666654	136.645050048828
100.104166666667	6.72916666666654	125.41722869873
100.145833333334	6.72916666666654	124.851806640625
100.1875	6.72916666666654	118.774841308594
100.229166666667	6.72916666666654	134.051025390625
100.270833333334	6.72916666666654	137.944641113281
100.3125	6.72916666666654	138.25505065918
100.354166666667	6.72916666666654	138.423095703125
100.395833333334	6.72916666666654	138.423080444336
100.4375	6.72916666666654	138.423080444336
100.479166666667	6.72916666666654	138.423080444336
100.520833333334	6.72916666666654	138.423080444336
100.5625	6.72916666666654	107.141487121582
100.604166666667	6.72916666666654	95.9508743286133
100.645833333334	6.72916666666654	95.9508743286133
100.6875	6.72916666666654	95.9508743286133
100.729166666667	6.72916666666654	95.9508743286133
100.770833333334	6.72916666666654	95.9508743286133
100.8125	6.72916666666654	114.658103942871
100.854166666667	6.72916666666654	133.753921508789
100.895833333334	6.72916666666654	133.75390625
100.9375	6.72916666666654	133.753921508789
100.979166666667	6.72916666666654	133.753921508789
101.020833333334	6.72916666666654	154.463989257812
101.0625	6.72916666666654	206.541259765625
101.104166666667	6.72916666666654	214.636138916016
101.145833333334	6.72916666666654	214.636138916016
101.1875	6.72916666666654	233.042037963867
101.229166666667	6.72916666666654	305.301452636719
101.270833333334	6.72916666666654	357.907592773438
101.3125	6.72916666666654	366.260498046875
101.354166666667	6.72916666666654	266.350830078125
101.395833333334	6.72916666666654	261.479339599609
101.4375	6.72916666666654	259.896850585938
101.479166666667	6.72916666666654	258.271087646484
101.520833333334	6.72916666666654	307.866271972656
101.5625	6.72916666666654	312.953857421875
101.604166666667	6.72916666666654	312.953826904297
101.645833333334	6.72916666666654	312.953857421875
99.6458333333335	6.68749999999987	138.118118286133
99.6875000000002	6.68749999999987	138.118118286133
99.8541666666669	6.68749999999987	138.118133544922
99.8958333333335	6.68749999999987	135.750259399414
99.9375000000002	6.68749999999987	136.56135559082
99.9791666666669	6.68749999999987	138.118118286133
100.020833333334	6.68749999999987	138.118133544922
100.0625	6.68749999999987	138.118133544922
100.104166666667	6.68749999999987	138.037490844727
100.145833333334	6.68749999999987	137.355606079102
100.1875	6.68749999999987	101.802345275879
100.229166666667	6.68749999999987	97.5360641479492
100.270833333334	6.68749999999987	97.3571395874023
100.3125	6.68749999999987	128.482330322266
100.354166666667	6.68749999999987	138.423080444336
100.395833333334	6.68749999999987	138.423080444336
100.4375	6.68749999999987	138.423080444336
100.479166666667	6.68749999999987	138.423080444336
100.520833333334	6.68749999999987	138.423080444336
100.5625	6.68749999999987	115.790069580078
100.604166666667	6.68749999999987	95.9508666992188
100.645833333334	6.68749999999987	95.9508666992188
100.6875	6.68749999999987	95.9508666992188
100.729166666667	6.68749999999987	95.9508666992188
100.770833333334	6.68749999999987	95.9508666992188
100.8125	6.68749999999987	108.536956787109
100.854166666667	6.68749999999987	133.75390625
100.895833333334	6.68749999999987	133.75390625
100.9375	6.68749999999987	128.862594604492
100.979166666667	6.68749999999987	93.9735336303711
101.020833333334	6.68749999999987	101.007690429688
101.0625	6.68749999999987	171.929840087891
101.104166666667	6.68749999999987	214.636138916016
101.145833333334	6.68749999999987	214.636138916016
101.1875	6.68749999999987	202.23210144043
